click_id,sku,query_id,position,clicked,converted,price_rwf
CLK-000001,RW-LEA-0045,Q-0093,7,1,0,22726
CLK-000002,RW-BAS-0101,Q-0012,5,1,0,5845
CLK-000003,RW-LEA-0257,Q-0016,3,1,1,78416
CLK-000004,RW-HOM-0391,Q-0078,2,1,0,23998
CLK-000005,RW-JEW-0047,Q-0067,1,1,0,15640
CLK-000006,RW-APP-0083,Q-0091,1,1,1,31806
CLK-000007,RW-LEA-0339,Q-0094,2,1,0,17855
CLK-000008,RW-HOM-0274,Q-0019,2,1,1,26671
CLK-000009,RW-APP-0206,Q-0040,1,1,0,33660
CLK-000010,RW-BAS-0232,Q-0016,1,0,0,3088
CLK-000011,GN-BAS-0471,Q-0053,4,1,0,2345
CLK-000012,RW-APP-0384,Q-0100,4,1,0,19452
CLK-000013,RW-APP-0120,Q-0082,1,0,0,10946
CLK-000014,RW-LEA-0399,Q-0095,4,1,0,75901
CLK-000015,RW-LEA-0278,Q-0056,2,0,0,16953
CLK-000016,RW-APP-0220,Q-0081,4,1,0,8318
CLK-000017,RW-JEW-0288,Q-0077,5,1,0,46483
CLK-000018,RW-APP-0302,Q-0004,3,0,0,25242
CLK-000019,GN-JEW-0497,Q-0103,1,0,0,9119
CLK-000020,GN-HOM-0459,Q-0036,3,1,0,11643
CLK-000021,GN-LEA-0499,Q-0080,1,1,0,7158
CLK-000022,RW-HOM-0168,Q-0003,1,1,0,13745
CLK-000023,RW-BAS-0359,Q-0020,3,0,0,7381
CLK-000024,RW-APP-0248,Q-0054,1,1,0,30967
CLK-000025,RW-HOM-0304,Q-0044,1,0,1,16694
CLK-000026,RW-JEW-0184,Q-0110,9,0,1,7203
CLK-000027,RW-JEW-0132,Q-0094,3,1,0,30758
CLK-000028,RW-HOM-0040,Q-0012,7,1,0,36743
CLK-000029,RW-BAS-0361,Q-0037,3,0,1,4371
CLK-000030,RW-HOM-0010,Q-0092,5,1,0,21077
CLK-000031,RW-HOM-0071,Q-0071,2,0,0,18014
CLK-000032,RW-APP-0394,Q-0005,3,1,0,31142
CLK-000033,RW-LEA-0339,Q-0013,8,0,1,17855
CLK-000034,GN-HOM-0495,Q-0070,5,1,0,10805
CLK-000035,RW-LEA-0076,Q-0116,2,1,0,74863
CLK-000036,RW-BAS-0138,Q-0059,1,1,0,7787
CLK-000037,RW-HOM-0272,Q-0057,2,1,0,27172
CLK-000038,GN-JEW-0425,Q-0053,1,1,1,9772
CLK-000039,RW-HOM-0272,Q-0017,10,0,0,27172
CLK-000040,RW-APP-0060,Q-0034,2,1,0,8654
CLK-000041,RW-APP-0161,Q-0013,4,0,0,30217
CLK-000042,RW-HOM-0071,Q-0067,3,1,1,18014
CLK-000043,GN-LEA-0482,Q-0039,1,0,0,9766
CLK-000044,GN-APP-0453,Q-0031,4,0,0,12688
CLK-000045,RW-LEA-0150,Q-0053,4,1,1,54054
CLK-000046,RW-LEA-0058,Q-0063,4,1,0,78168
CLK-000047,RW-APP-0206,Q-0045,1,1,0,33660
CLK-000048,RW-JEW-0003,Q-0113,3,0,1,42788
CLK-000049,GN-BAS-0446,Q-0019,1,1,1,7070
CLK-000050,RW-BAS-0023,Q-0024,1,1,1,14110
CLK-000051,RW-APP-0250,Q-0061,1,0,0,16314
CLK-000052,RW-BAS-0140,Q-0016,6,0,0,15594
CLK-000053,GN-LEA-0464,Q-0084,9,0,1,21198
CLK-000054,RW-JEW-0013,Q-0086,5,0,0,39552
CLK-000055,RW-JEW-0284,Q-0112,3,1,0,40713
CLK-000056,RW-LEA-0255,Q-0080,4,0,1,16539
CLK-000057,RW-APP-0250,Q-0003,5,1,0,16314
CLK-000058,RW-HOM-0362,Q-0017,2,1,0,37635
CLK-000059,RW-JEW-0091,Q-0112,9,1,0,13231
CLK-000060,GN-BAS-0424,Q-0003,1,1,0,5150
CLK-000061,RW-BAS-0232,Q-0028,6,1,1,3088
CLK-000062,RW-HOM-0377,Q-0073,3,1,0,19751
CLK-000063,RW-LEA-0057,Q-0079,7,1,0,17911
CLK-000064,RW-BAS-0135,Q-0029,2,1,0,23101
CLK-000065,GN-BAS-0441,Q-0008,2,0,1,3377
