sku,title,description,category,material,origin_district,price_rwf,artisan_id,is_local
RW-APP-0001,handmade traditional polyester robe,Handmade handmade polyester apparel made from Rusizi by artisans in polyester. Perfect for casual and formal wear.,apparel,polyester,Rusizi,17990,ART-754,True
RW-JEW-0002,artisan beads anklet,"Elegant artisan beads jewellery piece, handcrafted by Nyarugenge artisans from beads.",jewellery,beads,Nyarugenge,48903,ART-214,True
RW-JEW-0003,traditional silver earrings,"Elegant traditional silver jewellery piece, handcrafted by Rusizi artisans from silver.",jewellery,silver,Rusizi,42788,ART-125,True
RW-LEA-0004,modern genuine-leather leather belt,"Premium modern genuine-leather leather product, handcrafted in Kicukiro using traditional techniques.",leather,genuine-leather,Kicukiro,56851,ART-859,True
RW-BAS-0005,modern banana-fibre storage basket,Beautiful modern banana-fibre basket handwoven by skilled artisans in Huye using banana-fibre.,basketry,banana-fibre,Huye,5026,ART-381,True
RW-APP-0006,artisan silk apparel shirt,Handmade artisan silk apparel made from Nyagatare by artisans in silk. Perfect for casual and formal wear.,apparel,silk,Nyagatare,23949,ART-350,True
RW-JEW-0007,artisan beads ring set,"Elegant artisan beads jewellery piece, handcrafted by Nyamirambo artisans from beads.",jewellery,beads,Nyamirambo,25055,ART-328,True
RW-JEW-0008,handmade beads earrings,"Elegant handmade beads jewellery piece, handcrafted by Rusizi artisans from beads.",jewellery,beads,Rusizi,26002,ART-242,True
RW-BAS-0009,premium raffia gift basket,Beautiful premium raffia basket handwoven by skilled artisans in Kicukiro using raffia.,basketry,raffia,Kicukiro,23295,ART-854,True
RW-HOM-0010,traditional clay vase,"Unique traditional clay home decor item, handmade in Huye with clay.",home-decor,clay,Huye,21077,ART-204,True
RW-JEW-0011,premium silver earrings,"Elegant premium silver jewellery piece, handcrafted by Kicukiro artisans from silver.",jewellery,silver,Kicukiro,35891,ART-792,True
RW-LEA-0012,modern sheepskin leather bag,"Premium modern sheepskin leather product, handcrafted in Musanze using traditional techniques.",leather,sheepskin,Musanze,43414,ART-858,True
RW-JEW-0013,traditional beads ring set,"Elegant traditional beads jewellery piece, handcrafted by Rusizi artisans from beads.",jewellery,beads,Rusizi,39552,ART-658,True
RW-HOM-0014,artisan clay candle holder,"Unique artisan clay home decor item, handmade in Nyagatare with clay.",home-decor,clay,Nyagatare,17956,ART-189,True
RW-JEW-0015,artisan bone necklace,"Elegant artisan bone jewellery piece, handcrafted by Kicukiro artisans from bone.",jewellery,bone,Kicukiro,41220,ART-704,True
RW-JEW-0016,artisan wood bracelet,"Elegant artisan wood jewellery piece, handcrafted by Rusizi artisans from wood.",jewellery,wood,Rusizi,36732,ART-532,True
RW-BAS-0017,premium banana-fibre basket,Beautiful premium banana-fibre basket handwoven by skilled artisans in Huye using banana-fibre.,basketry,banana-fibre,Huye,3819,ART-132,True
RW-APP-0018,traditional traditional polyester robe,Handmade traditional polyester apparel made from Huye by artisans in polyester. Perfect for casual and formal wear.,apparel,polyester,Huye,19132,ART-130,True
RW-APP-0019,handmade linen trousers,Handmade handmade linen apparel made from Rusizi by artisans in linen. Perfect for casual and formal wear.,apparel,linen,Rusizi,21961,ART-195,True
RW-BAS-0020,traditional papyrus woven bowl,Beautiful traditional papyrus basket handwoven by skilled artisans in Rusizi using papyrus.,basketry,papyrus,Rusizi,3677,ART-323,True
RW-HOM-0021,handmade clay throw pillow,"Unique handmade clay home decor item, handmade in Nyarugenge with clay.",home-decor,clay,Nyarugenge,44721,ART-338,True
RW-LEA-0022,premium cowhide leather jacket,"Premium premium cowhide leather product, handcrafted in Nyagatare using traditional techniques.",leather,cowhide,Nyagatare,33289,ART-617,True
RW-BAS-0023,modern sisal gift basket,Beautiful modern sisal basket handwoven by skilled artisans in Rubavu using sisal.,basketry,sisal,Rubavu,14110,ART-716,True
RW-JEW-0024,handmade silver bracelet,"Elegant handmade silver jewellery piece, handcrafted by Huye artisans from silver.",jewellery,silver,Huye,41630,ART-127,True
RW-LEA-0025,artisan cowhide leather shoes,"Premium artisan cowhide leather product, handcrafted in Gasabo using traditional techniques.",leather,cowhide,Gasabo,65150,ART-674,True
RW-BAS-0026,handmade sisal wall decoration,Beautiful handmade sisal basket handwoven by skilled artisans in Rusizi using sisal.,basketry,sisal,Rusizi,14022,ART-303,True
RW-BAS-0027,premium banana-fibre woven bowl,Beautiful premium banana-fibre basket handwoven by skilled artisans in Rubavu using banana-fibre.,basketry,banana-fibre,Rubavu,6656,ART-833,True
RW-LEA-0028,handmade sheepskin leather jacket,"Premium handmade sheepskin leather product, handcrafted in Rubavu using traditional techniques.",leather,sheepskin,Rubavu,38517,ART-765,True
RW-LEA-0029,traditional goatskin leather jacket,"Premium traditional goatskin leather product, handcrafted in Kicukiro using traditional techniques.",leather,goatskin,Kicukiro,38807,ART-818,True
RW-JEW-0030,artisan brass bracelet,"Elegant artisan brass jewellery piece, handcrafted by Huye artisans from brass.",jewellery,brass,Huye,48612,ART-658,True
RW-LEA-0031,handmade genuine-leather leather wallet,"Premium handmade genuine-leather leather product, handcrafted in Rusizi using traditional techniques.",leather,genuine-leather,Rusizi,62899,ART-529,True
